Rank,Word,CEFR,PartOfSpeech,IPA_UK,Chinese,Collocation,Example_EN,Example_CN,Synonym,Antonym,MemoryTip
1,team,A1,n.,/tiːm/,(游戏或运动的)队；(一起工作的)组，班,team member; team work; football team,Our team won the basketball match yesterday.,我们队昨天赢了篮球比赛。,group; crew,individual,team 像 TEAM——Together Everyone Achieves More(一起努力，成就更多)。
2,player,A1,n.,/'pleɪə(r)/,运动员；参赛选手,football player; basketball player; key player,He is the best player on the football team.,他是足球队里最好的运动员。,athlete; competitor,,play(玩)+ er(人)→ 玩运动的人 → 运动员。
3,him,A1,pron.,/hɪm/,他(宾格),tell him; give him; with him,Please give the book to him.,请把这本书给他。,,her,he 的宾格形式，用在动词或介词后面。
4,lovely,A2,adj.,/'lʌvli/,美丽的；优美的,lovely day; lovely girl; lovely weather,What a lovely garden you have!,你的花园真漂亮！,beautiful; pretty; charming,ugly,love(爱)+ ly → 让人喜爱的 → 美丽的。
5,clever,A2,adj.,/'klevə(r)/,聪明的；聪颖的,clever boy; clever idea; clever trick,She is clever enough to solve the puzzle.,她足够聪明，能解开这个谜题。,smart; intelligent; bright,stupid; foolish,clever 和 clean 都有 cl 开头，聪明的头脑是干净的。
6,young,A1,adj.,/jʌŋ/,幼小的；年轻的,young people; young child; young age,My grandfather looks very young for his age.,我爷爷看上去比实际年龄年轻很多。,youthful; junior,old; elderly,young 发音像羊，小羊代表年轻。
7,hard-working,A2,adj.,/ˌhɑːd 'wɜːkɪŋ/,工作努力的；辛勤的,hard-working student; hard-working employee,She is a hard-working student who always finishes her homework on time.,她是一个勤奋的学生，总是按时完成作业。,diligent; industrious,lazy,hard(努力)+ working(工作)→ 努力工作的 → 勤奋的。
8,science,A2,n.,/'saɪəns/,科学；自然科学,science class; science museum; computer science,I like science because we can do experiments.,我喜欢科学课，因为我们可以做实验。,,,sci(知道)+ ence → 探索知识的学科 → 科学。
9,robot,A2,n.,/'rəʊbɒt/,机器人,robot arm; robot vacuum; cleaning robot,The robot can help us do housework.,这个机器人可以帮我们做家务。,automaton; machine,,robot 发音像肉搏，机器人不怕肉搏。
10,jump,A1,v.,/dʒʌmp/,跳；跃,jump up; jump rope; jump over,The rabbit can jump very high.,那只兔子能跳得很高。,leap; hop; spring,,jump 像江普→ 跳过江，普通过。
11,rope,A2,n.,/rəʊp/,绳；粗绳,jump rope; climbing rope; rope ladder,We need a rope to tie the boat.,我们需要一根绳子来拴住船。,cord; cable; string,,rope 发音像肉铺，肉铺里用绳子挂肉。
12,piano,A2,n.,/pi'ænəʊ/,钢琴,play the piano; piano lesson; piano concert,She has been playing the piano since she was five.,她从五岁起就开始弹钢琴了。,keyboard,,piano 发音像皮阿诺，想象一个叫皮阿诺的人在弹钢琴。
13,chess,A2,n.,/tʃes/,国际象棋,play chess; chess game; chess board,My father taught me how to play chess.,我爸爸教我怎么下国际象棋。,,,chess 发音像拆斯，下棋就是拆解对方的策略。
14,front,A2,n.,/frʌnt/,前部,in front of; front door; front seat,There is a big tree in front of the house.,房子前面有一棵大树。,fore; foreground,back; rear,front 和 frontier(前线)同源，都在前面。
15,easy,A1,adj.,/'iːzi/,容易的；轻易的,easy to use; easy money; take it easy,This question is very easy to answer.,这个问题很容易回答。,simple; effortless,difficult; hard,easy 像 E-Z(容易)，像ABC一样简单。
16,star,A1,n.,/stɑː/,歌唱(或表演)明星,movie star; pop star; star player,She dreams of becoming a movie star one day.,她梦想有一天成为电影明星。,celebrity; idol,,star 本义是星星，引申为闪亮的明星。
17,wonderful,A2,adj.,/'wʌndəfl/,精彩的；绝妙的,wonderful time; wonderful news; wonderful view,We had a wonderful time at the party.,我们在派对上玩得很开心。,fantastic; excellent; marvelous,terrible; awful,wonder(奇迹)+ ful(充满)→ 充满奇迹的 → 精彩的。
18,Australia,A1,n.,/ɒ'streɪliə/,澳大利亚,in Australia; Australia Day; Western Australia,Kangaroos live in Australia.,袋鼠生活在澳大利亚。,,,Australia 发音像澳斯吹利亚，澳大利亚在南半球。
19,sad,A1,adj.,/sæd/,悲哀的；难过的,feel sad; sad story; sad news,She felt sad when her best friend moved away.,她最好的朋友搬走后，她很难过。,unhappy; sorrowful; upset,happy; glad,sad 三个字母，像眼泪流下的样子。
20,matter,A2,n.,/'mætə(r)/,事情；问题,What's the matter?; no matter; a matter of,What's the matter with you? You look pale.,你怎么了？你脸色苍白。,issue; problem; affair,,matter → What's the matter? 是最常用的关心用语。
21,project,A2,n.,/'prɒdʒekt/,项目；方案,school project; project plan; project manager,We are working on a science project together.,我们正在一起做一个科学项目。,plan; task; assignment,,pro(向前)+ ject(投掷)→ 向前推进的事情 → 项目。
22,centre,A2,n.,/'sentə(r)/,中心,city centre; shopping centre; sports centre,The shopping centre is in the middle of the city.,购物中心在市中心。,middle; core; heart,edge; border,centre(英式拼写)= center(美式拼写)，意思相同。
23,agree,A2,v.,/ə'griː/,同意；赞成,agree with; agree to; agree on,I agree with you that we should leave early.,我同意你的看法，我们应该早点出发。,consent; approve; accept,disagree; refuse,agree with + 人；agree to + 事；agree on + 协商的事。
24,finish,A1,v.,/'fɪnɪʃ/,完成；做好,finish homework; finish work; finish doing,I need to finish my homework before dinner.,我需要在晚饭前完成作业。,complete; end; conclude,start; begin,finish → fin(结束)+ ish → 把事情做完。
25,Monday,A1,n.,/'mʌndeɪ/,星期一,on Monday; Monday morning; last Monday,We have a maths test every Monday.,我们每周一都有数学测验。,,,Mon(moon 月亮)+ day → 月亮日 → 星期一。
26,worried,A2,adj.,/'wʌrid/,担心的；担忧的,worried about; be worried; look worried,My mother is worried about my health.,我妈妈担心我的健康。,anxious; concerned; uneasy,relaxed; calm,worry(担心)+ ed → 正在担心的状态。
27,both,A1,det.; pron.,/bəʊθ/,两者,both of us; both...and...; both sides,Both of my parents are teachers.,我父母都是老师。,two; pair,neither,both 指两者都，neither 指两者都不。
28,excited,A2,adj.,/ɪk'saɪtɪd/,激动的；兴奋的,excited about; get excited; feel excited,The children are excited about the trip to the zoo.,孩子们对去动物园的旅行很兴奋。,thrilled; enthusiastic; eager,bored; calm,excite(使兴奋)+ d → 感到兴奋的。注意：exciting 是令人兴奋的。
29,wrong,A1,adj.,/rɒŋ/,错误的,go wrong; wrong answer; something wrong,"I'm sorry, but your answer is wrong.",抱歉，你的答案是错的。,incorrect; mistaken; false,right; correct,wrong 发音像让，让别人发现你错了。
30,angry,A1,adj.,/'æŋgri/,愤怒的；生气的,angry with; angry about; get angry,My father was angry because I broke the window.,我爸爸很生气，因为我打破了窗户。,mad; furious; annoyed,calm; pleased,angry 像 ang(昂)→ 生气时昂起头。
31,afraid,A2,adj.,/ə'freɪd/,担心；害怕,afraid of; be afraid; I'm afraid,She is afraid of the dark.,她害怕黑暗。,scared; frightened; fearful,brave; fearless,afraid → a + fraid → 一个让人害怕的幽灵。
32,parent,A1,n.,/'peərənt/,父亲；母亲,my parents; parent meeting; single parent,My parents always support my decisions.,我父母总是支持我的决定。,father; mother; guardian,child,parent 复数 parents 通常指父母双亲。
33,ask,A1,v.,/ɑːsk/,问；询问,ask a question; ask for help; ask about,Don't be afraid to ask if you don't understand.,不懂就问，不要害怕。,inquire; question; request,answer; reply,ask → 啊，思考→ 问问题前先思考。
34,move,A1,v.,/muːv/,搬家；移动,move to; move away; move house,We are going to move to a new city next month.,我们下个月要搬到新的城市。,relocate; shift; transfer,stay; remain,move 像木屋→ 搬木屋 → 搬家。
35,yours,A1,pron.,/jɔːz/,您的(用于书信结尾的签名前),Yours sincerely; Yours truly; of yours,"Yours sincerely, Li Ming.",您真诚的，李明。,,mine,your + s → 你的东西(名词性物主代词)，后面不接名词。
36,Wednesday,A1,n.,/'wenzdeɪ/,星期三,on Wednesday; Wednesday afternoon; last Wednesday,We have English class every Wednesday.,我们每周三有英语课。,,,Wed-nes-day 拼写中有 d 不发音，记成 Wed-nesday。
37,subject,A2,n.,/'sʌbdʒɪkt/,科目；学科,school subject; favourite subject; subject area,My favourite subject is history.,我最喜欢的学科是历史。,course; discipline,,sub(下面)+ ject(投掷)→ 放在下面的东西 → 学科主题。
38,Tuesday,A1,n.,/'tjuːzdeɪ/,星期二,on Tuesday; Tuesday morning; next Tuesday,The meeting is scheduled for Tuesday afternoon.,会议安排在周二下午。,,,Tuesday 源自北欧战神 Tyr → 战神日。
39,Friday,A1,n.,/'fraɪdeɪ/,星期五,on Friday; Friday evening; last Friday,Thank God it's Friday!,谢天谢地，终于周五了！,,,Fri(自由？)+ day → 周五接近周末，马上自由了。
40,because,A1,conj.,/bɪ'kɒz/,因为,because of; just because,I stayed at home because it was raining.,我待在家，因为外面在下雨。,since; as; for,,be + cause(原因)→ 是原因 → 因为。
41,Thursday,A1,n.,/'θɜːzdeɪ/,星期四,on Thursday; Thursday night; every Thursday,We have a music lesson on Thursday.,我们周四有音乐课。,,,Thursday → Thor(雷神)+ day → 雷神日。
42,start,A1,v.,/stɑːt/,开始,start doing; start to; at the start,Let's start our lesson now.,我们现在开始上课吧。,begin; commence,stop; end; finish,start 和 star(星星)一词之差，星星出来时新的一天开始。
43,usually,A2,adv.,/'juːʒuəli/,通常地；经常地,usually do; as usually,I usually get up at seven o'clock.,我通常七点起床。,normally; generally; typically,rarely; seldom,usual(通常的)+ ly → 通常地。
44,weekend,A1,n.,/ˌwiːk'end/,周末,at the weekend; on weekends; weekend trip,What do you usually do at the weekend?,你周末通常做什么？,,weekday,week(周)+ end(结束)→ 一周的结束 → 周末。
45,sometimes,A2,adv.,/'sʌmtaɪmz/,有时；间或,sometimes...sometimes...,"Sometimes I walk to school, sometimes I take the bus.",我有时走路去学校，有时坐公交。,occasionally; at times,always; never,some(一些)+ times(时候)→ 一些时候 → 有时。
46,Saturday,A1,n.,/'sætədeɪ/,星期六,on Saturday; Saturday morning; every Saturday,We always go shopping on Saturday.,我们周六总是去购物。,,,Saturday → Saturn(土星)+ day → 土星日。
47,Sunday,A1,n.,/'sʌndeɪ/,星期日,on Sunday; Sunday morning; every Sunday,Sunday is a day of rest for our family.,周日是我们家的休息日。,,,Sunday → Sun(太阳)+ day → 太阳日。
48,lesson,A1,n.,/'lesn/,课；一节课,English lesson; have a lesson; lesson plan,We have a piano lesson every Friday.,我们每周五有钢琴课。,class; course; lecture,,lesson 发音像来森→ 来森林上课。
49,evening,A1,n.,/'iːvnɪŋ/,晚上；傍晚,in the evening; evening meal; good evening,We usually watch TV in the evening.,我们晚上通常看电视。,nightfall; dusk,morning,evening → even(平)+ ing → 太阳落平 → 傍晚。
50,answer,A1,n.; v.,/'ɑːnsə/,答复；回答,answer the question; answer the phone; correct answer,Please raise your hand if you know the answer.,知道答案的同学请举手。,reply; respond; solution,question,answer → an + swer → 一个回答。
51,ping-pong,A2,n.,/'pɪŋ pɒŋ/,乒乓球,play ping-pong; ping-pong table; ping-pong ball,Let's play ping-pong after school.,放学后我们打乒乓球吧。,table tennis,,ping-pong 是拟声词，模仿球碰撞的声音。
52,night,A1,n.,/naɪt/,夜；夜晚,at night; last night; good night,I like to read a book at night before sleeping.,我喜欢晚上睡觉前读一会儿书。,evening; dark,day; daytime,night 和 knight(骑士)同音，骑士在夜晚守护。
53,visit,A1,v.,/'vɪzɪt/,看望；拜访；参观,visit friends; visit a museum; pay a visit,We are going to visit my grandparents this weekend.,这个周末我们要去看望祖父母。,call on; see; tour,,visit → vis(看)+ it → 去看 → 拜访。
54,grandparent,A1,n.,/'ɡrænpeərənt/,祖父；祖母；外祖父；外祖母,my grandparents; visit grandparents; grandparent's house,My grandparents live in the countryside.,我的祖父母住在乡下。,grandfather; grandmother,grandchild,grand(大的)+ parent(父母)→ 大的父母 → 祖父母。
55,stay,A1,v.,/steɪ/,待；保持；继续是,stay at home; stay calm; stay healthy,I decided to stay at home because of the rain.,因为下雨，我决定待在家里。,remain; keep; continue,leave; go,stay → s + tay → 在原地待着。
56,should,A2,modal v.,/ʃʊd/,(提出或征询建议)该，可以,should do; should be; you should,You should drink more water when you have a cold.,感冒时你应该多喝水。,ought to; had better,,should 是 shall 的过去式，但现在常用作情态动词表建议。
57,flu,A2,n.,/fluː/,流行性感冒；流感,have the flu; bird flu; flu season,I had the flu last week and missed three days of school.,我上周得了流感，缺了三天课。,influenza; cold,,flu 是 influenza 的缩写，发音像俘虏→ 被流感俘虏了。
58,else,A2,adv.,/els/,其他的；别的,someone else; anything else; or else,Is there anything else you want to tell me?,你还有什么别的想告诉我吗？,other; additional; besides,,"else 常用于疑问词和不定代词后面：what else, who else, someone else。"
59,exercise,A2,n.; v.,/'eksəsaɪz/,锻炼；训练；操练,take exercise; do exercise; exercise book,Doing exercise every day is good for your health.,每天锻炼对你的健康有好处。,workout; training; practice,rest,exercise → exer(向外)+ cise(切)→ 把多余的东西切掉 → 锻炼。
60,enough,A2,adj.; adv.,/ɪ'nʌf/,足够的；充足的；充分的,enough time; good enough; enough money,We don't have enough time to finish the work.,我们没有足够的时间来完成这项工作。,sufficient; adequate; ample,insufficient; lacking,enough 发音像一拿福→ 一拿就有福，足够了。
61,if,A1,conj.,/ɪf/,如果；假若；倘若,if possible; if necessary; what if,"If it rains tomorrow, we will stay at home.",如果明天下雨，我们就待在家。,whether; provided; in case,,if 只有两个字母，是最短的条件句引导词。
62,habit,A2,n.,/'hæbɪt/,习惯,good habit; bad habit; eating habit,Reading before bed is a good habit.,睡前读书是个好习惯。,custom; routine; practice,,habit → hab(有)+ it → 拥有它成为习惯。
63,show,A2,n.,/ʃəʊ/,(电视或广播)节目,TV show; talk show; game show,My favourite TV show is on at eight o'clock.,我最喜欢的电视节目在八点播出。,programme; performance; display,,show 本义是展示，电视节目就是展示给观众看的。
64,phone,A1,n.,/fəʊn/,电话；电话机,mobile phone; phone call; answer the phone,My phone rang while I was doing my homework.,我在做作业时电话响了。,telephone; cellphone; mobile,,phone 是 telephone 的缩写，发音像封→ 电话把声音封住传过去。
65,then,A1,adv.,/ðen/,那么；因此；既然如此,and then; since then; by then,"First we eat dinner, then we can watch TV.",我们先吃晚饭，然后可以看电视。,next; afterwards; therefore,now,then → the + n → 然后就是下一个。
66,rest,A2,n.; v.,/rest/,休息；放松,take a rest; have a rest; rest time,You have been working all day. You need to rest.,你工作了一整天，需要休息一下。,relax; break; pause,work; exercise,rest → 在 restaurant(餐厅)里休息吃饭。
67,take care of,A2,phr.,,爱护；照顾,take care of yourself; take care of the baby,My sister helps me take care of the dog.,我妹妹帮我照顾狗。,look after; care for; attend to,neglect,take(拿)+ care(关心)+ of → 拿出关心来 → 照顾。
68,check,A2,v.,/tʃek/,查看；查明,check out; check the answer; check in,Please check your homework before handing it in.,交作业前请检查一下。,examine; inspect; verify,ignore,check 发音像拆客→ 拆开检查。
69,less,A2,det.,/les/,(与不可数名词连用)较少的，更少的,less money; less time; less and less,You should eat less sugar for your health.,为了健康，你应该少吃糖。,smaller; reduced; fewer,more,less 是 little 的比较级，用于不可数名词；fewer 用于可数名词。
70,brush,A2,v.,/brʌʃ/,(用刷子)刷净，刷亮，刷平顺,brush teeth; brush hair; brush off,You should brush your teeth twice a day.,你应该每天刷两次牙。,clean; scrub; sweep,,brush → b + rush → 刷东西要 rush(快)。
71,tooth,A1,n.,/tuːθ/,牙；齿(复数 teeth),brush teeth; tooth fairy; tooth decay,I have a loose tooth.,我有一颗牙松了。,,,tooth(单数)→ teeth(复数)，oo 变 ee，像 foot → feet。
72,twice,A2,adv.,/twaɪs/,两次；两遍,twice a day; twice a week; think twice,I go to the library twice a week.,我每周去两次图书馆。,double; two times,once,twice → two + ice → 两次。once(一次)，twice(两次)，three times(三次)。
73,hour,A1,n.,/'aʊə(r)/,小时,an hour; half an hour; rush hour,It takes me an hour to finish my homework.,我花一个小时完成作业。,,,hour 中 h 不发音，发音和 our(我们的)一样。
74,free,A1,adj.,/friː/,没有安排活动的；空闲的,free time; for free; feel free,I am free this Saturday. Let's play basketball!,我这周六有空，我们去打篮球吧！,available; idle; unoccupied,busy; occupied,free 有两个常见意思：空闲的和免费的。
75,hungry,A1,adj.,/'hʌŋɡri/,感到饿的,feel hungry; go hungry; hungry for,I'm so hungry that I could eat a horse.,我饿得能吃下一匹马。,starving; famished,full,hungry → hung(饿)+ ry → 肚子饿得咕咕叫。
76,beef,A2,n.,/biːf/,牛肉,beef steak; roast beef; beef noodle,"I'd like a bowl of beef noodles, please.",我想要一碗牛肉面。,,,beef 发音像必富→ 吃牛肉必富。
77,ice cream,A1,n.,/ˌaɪs 'kriːm/,(一份)冰激凌,ice cream cone; eat ice cream; vanilla ice cream,Children love eating ice cream in summer.,夏天孩子们喜欢吃冰激凌。,gelato; sorbet,,ice(冰)+ cream(奶油)→ 冰奶油 → 冰激凌。
78,little,A1,det.,/'lɪtl/,少许；一点,a little; little by little; very little,"Can I have a little more rice, please?",我能再要一点米饭吗？,small; tiny; bit,big; much; large,a little 用于不可数名词(一点)；a few 用于可数名词(几个)。
79,dumpling,A2,n.,/'dʌmplɪŋ/,饺子；汤圆,make dumplings; eat dumplings; dumpling festival,We always make dumplings for the Spring Festival.,我们春节总是包饺子。,,,dumpling → dump + ling → 把馅料倒进面皮里。
80,tea,A1,n.,/tiː/,茶叶；茶；茶水,green tea; a cup of tea; afternoon tea,Would you like a cup of tea?,你想来杯茶吗？,,,tea 发音像替，茶可以替你提神。
81,hamburger,A2,n.,/'hæmbɜːɡə(r)/,汉堡包；汉堡牛肉饼,hamburger restaurant; chicken hamburger; eat hamburger,I had a hamburger and some fries for lunch.,我午餐吃了一个汉堡和一些薯条。,burger,,hamburger 源自德国城市 Hamburg，所以叫汉堡。
82,Mrs,A1,title,/'mɪsɪz/,太太，夫人(用于女子的姓氏或姓名前),Mrs Smith; Mr and Mrs,Mrs Wang is our English teacher.,王太太是我们的英语老师。,,Mr; Miss; Ms,Mrs 用于已婚女性，Miss 用于未婚女性，Ms 不表明婚姻状况。
83,coconut,A2,n.,/'kəʊkənʌt/,椰子,coconut tree; coconut milk; coconut oil,We drank fresh coconut water on the beach.,我们在海滩上喝了新鲜的椰子水。,,,coconut → coco(椰子)+ nut(坚果)→ 椰子坚果。
84,interesting,A1,adj.,/'ɪntrəstɪŋ/,有趣的；有吸引力的,interesting story; interesting place; find interesting,The book is so interesting that I can't put it down.,这本书太有趣了，我爱不释手。,fascinating; engaging; appealing,boring; dull,interest(兴趣)+ ing → 令人感兴趣的。注意：interested 是感到有趣的。
85,seed,A2,n.,/siːd/,种子；籽,plant seeds; seed bank; seed of,We planted sunflower seeds in the garden.,我们在花园里种了向日葵种子。,grain; pip; kernel,,seed → see + d → 看到种子种下去 → 种子。
86,pull,A2,v.,/pʊl/,拔出；抽出,pull out; pull up; pull over,Can you help me pull these weeds out of the garden?,你能帮我把花园里的杂草拔掉吗？,tug; drag; draw,push,pull(拉)vs push(推)，门上的 PULL / PUSH 标志。
87,pull up,A2,phr.,,拔出,pull up weeds; pull up the plant,We pulled up all the dead plants in the garden.,我们把花园里所有枯死的植物都拔了。,uproot; remove,plant,pull(拉)+ up(向上)→ 向上拉 → 拔出。
88,stem,B1,n.,/stem/,(花草的)茎；(花或叶的)梗，柄,plant stem; flower stem; long stem,The rose has a long green stem with thorns.,玫瑰花有长长的绿色茎，上面有刺。,stalk; shoot; trunk,,stem → s + tem → 植物的支撑 → 茎。
89,root,B1,n.,/ruːt/,根；根茎,tree root; root cause; take root,The roots of this tree go deep into the ground.,这棵树的根深深扎入地下。,base; source; origin,,root → roo + t → 像路一样深入地下 → 根。
90,lotus,B1,n.,/'ləʊtəs/,莲属植物,lotus flower; lotus leaf; lotus seed,The lotus flower is a symbol of purity in Chinese culture.,莲花在中国文化中是纯洁的象征。,water lily,,lotus 发音像露特斯→ 露珠停在莲花上。
91,lake,A2,n.,/leɪk/,湖；湖泊,West Lake; by the lake; lake water,We went boating on the lake last Sunday.,上周日我们去湖上划船了。,pond; reservoir,,lake → la + ke → 像来客→ 湖上来客。
92,world,A1,n.,/wɜːld/,世界；地球；天下,all over the world; world peace; around the world,I want to travel around the world one day.,我希望有一天能环游世界。,earth; globe; planet,,world → wor + ld → 像我的→ 世界是我的。
93,round,A2,adj.,/raʊnd/,圆形的；环形的；球形的,round table; round face; round shape,The moon is round and bright tonight.,今晚的月亮又圆又亮。,circular; spherical,square; flat,round → rou + nd → 像绕的→ 绕圈的 → 圆的。
94,different,A1,adj.,/'dɪfrənt/,不同的；有区别的；有差异的,different from; different kinds; different ways,My opinion is different from yours.,我的观点和你的不同。,distinct; various; diverse,same; similar,differ(不同)+ ent → 不同的。注意搭配：different from。
95,way,A1,n.,/weɪ/,方法；手段；途径；方式,way of life; by the way; in this way,Is there a better way to solve this problem?,有更好的方法来解决这个问题吗？,method; manner; approach,,way 像路一样，引申为方法、途径。
96,river,A2,n.,/'rɪvə(r)/,河；江,Yangtze River; by the river; river bank,There is a beautiful bridge over the river.,河上有一座美丽的桥。,stream; brook; creek,,river → ri + ver → 像来我→ 河流来我身边。
97,nature,A2,n.,/'neɪtʃə(r)/,自然界；大自然,mother nature; nature park; love nature,We should protect nature and the environment.,我们应该保护大自然和环境。,environment; wilderness; outdoors,,nature → nat(出生，天然的)+ ure → 天然的东西 → 大自然。
98,waterfall,B1,n.,/'wɔːtəfɔːl/,瀑布,Niagara Falls; waterfall view; beautiful waterfall,The waterfall is so high that it looks like a white curtain.,瀑布很高，看起来像白色的帘子。,cascade; cataract,,water(水)+ fall(落下)→ 水落下来 → 瀑布。
99,forest,A2,n.,/'fɒrɪst/,森林；林区,rain forest; forest park; in the forest,Many wild animals live in the forest.,许多野生动物生活在森林里。,woods; woodland; jungle,,forest → for + est → 为休息而存在的地方 → 森林。
100,famous,A2,adj.,/'feɪməs/,著名的；出名的,famous for; world famous; famous star,Beijing is famous for the Great Wall.,北京以长城闻名。,well-known; renowned; celebrated,unknown; obscure,famous → fame(名声)+ ous → 有名声的。
101,mountain,A2,n.,/'maʊntən/,高山；山岳,mountain climbing; mountain top; high mountain,We climbed to the top of the mountain and saw the sunrise.,我们爬到山顶，看到了日出。,peak; hill; summit,valley,mountain 发音像忙停→ 爬山忙到停下来 → 山。
102,wind,A2,n.,/wɪnd/,风；气流,strong wind; wind power; cold wind,The wind is blowing hard outside.,外面的风刮得很大。,breeze; gale; gust,,wind 发音像温的→ 温柔的风。注意动词 wind /waɪnd/ 读音不同。
103,trip,A2,n.,/trɪp/,(尤指短程往返的)旅行，旅游，出行,go on a trip; school trip; business trip,We are going on a school trip to the museum next week.,下周我们要去博物馆进行学校旅行。,journey; tour; outing,,trip → tri + p → 短途旅行。
104,dangerous,A2,adj.,/'deɪndʒərəs/,有危险的；不安全的,dangerous place; dangerous animal; extremely dangerous,It is dangerous to swim in this river.,在这条河里游泳很危险。,risky; hazardous; unsafe,safe; secure,danger(危险)+ ous → 危险的。
105,heavy,A2,adj.,/'hevi/,程度大的；严重的,heavy rain; heavy traffic; heavy work,The heavy rain lasted for three hours.,大雨持续了三个小时。,strong; intense; severe,light,heavy → heav(重)+ y → 重的。
106,hotel,A2,n.,/həʊ'tel/,旅馆；旅社,stay in a hotel; hotel room; five-star hotel,We stayed in a nice hotel near the beach.,我们住在海滩附近一家不错的旅馆。,inn; guesthouse; motel,,hotel → ho + tel → 像候台→ 等候旅客的楼台。
107,close,A1,v.,/kləʊz/,关；关闭；闭上,close the door; close your eyes; close down,Please close the window. It's cold outside.,请关上窗户，外面冷。,shut; seal,open,close 作动词读 /kləʊz/，作形容词(近的)读 /kləʊs/。
108,umbrella,A2,n.,/ʌm'brelə/,伞；雨伞,take an umbrella; under the umbrella; folding umbrella,Don't forget to take your umbrella. It might rain.,别忘了带伞，可能要下雨。,parasol; sunshade,,umbrella → um + brella → 像俺不来了→ 下雨没伞俺不来了。
109,raincoat,A2,n.,/'reɪnkəʊt/,雨衣,wear a raincoat; put on a raincoat,I wore my raincoat because it was raining heavily.,我穿了雨衣，因为雨下得很大。,waterproof; slicker,,rain(雨)+ coat(外套)→ 防雨的外套 → 雨衣。
110,worry,A2,v.,/'wʌri/,担心；担忧；发愁,worry about; don't worry; worry too much,Don't worry about the exam. You will do fine.,别担心考试，你会考好的。,fret; stress; be anxious,relax; calm down,worry → wor + ry → 像无力→ 担心让人无力。
111,fine,A1,adj.,/faɪn/,晴朗的,fine weather; fine day; I'm fine,It's a fine day for a picnic.,今天是个晴朗的野餐好天气。,sunny; nice; pleasant,rainy; cloudy,fine 有多个意思：晴朗的、好的、精致的。
112,fog,B1,n.,/fɒg/,雾,heavy fog; foggy day; in the fog,The fog was so thick that we couldn't see the road.,雾太大了，我们看不清路。,mist; haze; smog,,fog → f + og → 像雾→ 雾蒙蒙。
113,flood,B1,n.,/flʌd/,洪水；水灾,flood control; flood area; heavy flood,The heavy rain caused a flood in the village.,暴雨导致村庄发生了洪水。,deluge; overflow; torrent,drought,flood → fl + ood → 像浮了→ 水浮上来了 → 洪水。
114,fire,A2,n.,/'faɪə(r)/,火；火灾,on fire; fire station; fire alarm,Call 119 if there is a fire.,如果发生火灾，请拨打119。,flame; blaze,water,fire → fi + re → 像飞热→ 火飞起来很热。
115,know,A1,v.,/nəʊ/,知道；了解,know about; get to know; you know,Do you know the answer to this question?,你知道这个问题的答案吗？,understand; realize; recognize,,know 中 k 不发音，和 no 同音。
116,before,A1,prep.; conj.,/bɪ'fɔː(r)/,在……之前,before long; the day before; before and after,Please wash your hands before eating.,吃饭前请洗手。,prior to; earlier than,after,be(在)+ fore(前面)→ 在前面 → 在……之前。
117,go hiking,A2,phr.,/'haɪkɪŋ/,徒步旅行,go hiking in the mountains; like hiking; hiking trail,We went hiking in the forest last weekend.,上周末我们去森林里徒步旅行了。,go trekking; go walking,,go hiking → hiking 来自 hike(远足)，go + doing 表示去做某事。
118,bring,A1,v.,/brɪŋ/,带……到某处；带来；取来,bring back; bring up; bring with,Please bring your textbook to class tomorrow.,明天请把课本带到课堂上来。,carry; fetch; deliver,take,bring(带来)vs take(带走)：bring 是向说话者方向带来，take 是从说话者处带走。
